countrycode,country,year,fdi,key
JPN,Japan,1983,0.03297613,JPN-1983
KOR,"Korea, Rep.",1983,0.078713531,KOR-1983
LUX,Luxembourg,1983,,LUX-1983
LVA,Latvia,1983,,LVA-1983
MEX,Mexico,1983,1.472449242,MEX-1983
NLD,Netherlands,1983,0.896443606,NLD-1983
NOR,Norway,1983,0.532762364,NOR-1983
NZL,New Zealand,1983,0.714490671,NZL-1983
POL,Poland,1983,,POL-1983
PRT,Portugal,1983,0.539006343,PRT-1983
SVK,Slovak Republic,1983,,SVK-1983
SVN,Slovenia,1983,,SVN-1983
SWE,Sweden,1983,0.217994885,SWE-1983
TUR,Turkey,1983,0.074580549,TUR-1983
USA,United States,1983,0.287784655,USA-1983
AUS,Australia,1984,0.193894306,AUS-1984
AUT,Austria,1984,0.169502455,AUT-1984
BEL,Belgium,1984,,BEL-1984
CAN,Canada,1984,1.337676268,CAN-1984
CHE,Switzerland,1984,0.731169939,CHE-1984
CHL,Chile,1984,0.39750231,CHL-1984
CZE,Czech Republic,1984,,CZE-1984
DEU,Germany,1984,0.073357497,DEU-1984
DNK,Denmark,1984,-0.025982215,DNK-1984
ESP,Spain,1984,1.032321482,ESP-1984
EST,Estonia,1984,,EST-1984
FIN,Finland,1984,0.257309564,FIN-1984
FRA,France,1984,0.451867818,FRA-1984
GBR,United Kingdom,1984,-0.075261594,GBR-1984
GRC,Greece,1984,1.009995314,GRC-1984
HUN,Hungary,1984,,HUN-1984
IRL,Ireland,1984,0.602870805,IRL-1984
ISL,Iceland,1984,0.485470258,ISL-1984
ISR,Israel,1984,,ISR-1984
ITA,Italy,1984,0.302591867,ITA-1984
JPN,Japan,1984,-0.000758506,JPN-1984
KOR,"Korea, Rep.",1984,0.114081705,KOR-1984
LUX,Luxembourg,1984,,LUX-1984
LVA,Latvia,1984,,LVA-1984
MEX,Mexico,1984,0.877973601,MEX-1984
NLD,Netherlands,1984,1.208465441,NLD-1984
NOR,Norway,1984,-0.290782174,NOR-1984
NZL,New Zealand,1984,5.765320644,NZL-1984
